md,inc,azm,tvd,vs,ns,ew,ca,cd,dl,cl,northing,easting,tcl,pos-tcl,tot,bot,dip,fault,Upper EF,Base EF,Anacacho,Olmos,Middle EF,Upson
9065,0.6,332.1,9063.94,6.91,-35.28,-29.44,219.84,45.95,0.61,94,351923,2377007,13224.5,4160.56,13197.5,13254.5,0,0,13087.5,13374.5,12909.5,11774.5,13154.5,13029.5
9159,0.7,341.1,9157.933964,5.9,-34.3,-29.86,221.04,45.48,0.15,94,351924,2377006,13138.5,3980.566036,13111.5,13168.5,0,-86,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9253,0.2,356.6,9251.930791,5.24,-33.59,-30.05,221.81,45.07,0.54,94,351924,2377006,13138.5,3886.569209,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9347,0.3,15.9,9345.9299,4.98,-33.19,-29.99,222.1,44.74,0.14,94,351925,2377006,13138.5,3792.5701,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9483,0.31,87.36,9481.928411,5.02,-32.83,-29.53,221.97,44.16,0.26,136,351925,2377007,13138.5,3656.571589,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9577,1.55,264.28,9575.918777,4.43,-32.95,-30.54,222.83,44.93,1.98,94,351925,2377006,13138.5,3562.581223,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9672,3.34,264.6,9670.828433,2.05,-33.34,-34.57,226.04,48.03,1.88,95,351925,2377001,13138.5,3467.671567,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9766,3.91,259.5,9764.64022,-1.21,-34.18,-40.45,229.8,52.96,0.7,94,351924,2376996,13138.5,3373.85978,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9860,4.08,239.17,9858.416502,-3.48,-36.48,-46.47,231.87,59.08,1.51,94,351922,2376990,13138.5,3280.083498,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
9954,3.78,237.32,9952.195395,-4.58,-39.87,-51.95,232.5,65.49,0.35,94,351918,2376984,13138.5,3186.304605,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
10048,4.02,252.28,10045.9801,-6.38,-42.54,-57.7,233.6,71.69,1.11,94,351915,2376978,13138.5,3092.519903,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
10142,4.9,270.1,10139.69902,-10.38,-43.54,-64.85,236.13,78.11,1.74,94,351914,2376971,13138.5,2998.800981,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
10237,6.51,278.05,10234.22683,-17.17,-42.78,-74.24,240.05,85.69,1.88,95,351915,2376962,13138.5,2904.273169,13111.5,13168.5,0,0,13001.5,13288.5,12823.5,11688.5,13068.5,12943.5
10331,9.34,273.92,10327.32035,-26.67,-41.51,-87.13,244.53,96.52,3.07,94,351917,2376949,13035.41992,2708.099569,13008.42,13065.42,0,-103.08,12898.42,13185.42,12720.42,11585.42,12965.42,12840.42
10425,12.09,269.72,10419.67392,-38.59,-41.03,-104.59,248.58,112.35,3.04,94,351917,2376931,13035.41992,2615.745998,13008.42,13065.42,0,0,12898.42,13185.42,12720.42,11585.42,12965.42,12840.42
10519,10.16,263.52,10511.90649,-49.84,-42.02,-122.68,251.09,129.67,2.41,94,351916,2376913,13035.41992,2523.51343,13008.42,13065.42,0,0,12898.42,13185.42,12720.42,11585.42,12965.42,12840.42
10614,11,276.22,10605.30343,-61.36,-41.98,-140.01,253.31,146.17,2.6,95,351916,2376896,13035.41992,2430.116493,13008.42,13065.42,0,0,12898.42,13185.42,12720.42,11585.42,12965.42,12840.42
10707,11.08,258.17,10696.60981,-72.35,-42.85,-157.59,254.79,163.31,3.7,93,351915,2376878,13031.41992,2334.81011,13004.42,13061.42,0,-4,12894.42,13181.42,12716.42,11581.42,12961.42,12836.42
10801,11.27,272.94,10788.8466,-83.26,-44.23,-175.6,255.86,181.09,3.04,94,351914,2376860,13031.41992,2242.573327,13004.42,13061.42,0,0,12894.42,13181.42,12716.42,11581.42,12961.42,12836.42
10895,12.19,255.92,10880.9103,-94.26,-46.18,-194.41,256.64,199.82,3.79,94,351912,2376842,13036.41992,2155.509621,13009.42,13066.42,0,5,12899.42,13186.42,12721.42,11586.42,12966.42,12841.42
10989,12.25,267.16,10972.79361,-105.07,-49.09,-214,257.08,219.56,2.53,94,351909,2376822,13036.41992,2063.626309,13009.42,13066.42,0,0,12899.42,13186.42,12721.42,11586.42,12966.42,12841.42
11083,11.69,263.15,11064.75096,-116.72,-50.72,-233.41,257.74,238.86,1.07,94,351907,2376803,12999.41992,1934.668967,12972.42,13029.42,0,-37,12862.42,13149.42,12684.42,11549.42,12929.42,12804.42
11178,12.62,261.63,11157.62043,-127.86,-53.37,-253.24,258.1,258.8,1.04,95,351905,2376783,12999.41992,1841.799496,12972.42,13029.42,0,0,12862.42,13149.42,12684.42,11549.42,12929.42,12804.42
11272,12.93,261.43,11249.29344,-139.2,-56.44,-273.8,258.35,279.55,0.33,94,351902,2376762,13144.55957,1895.266134,13117.56,13174.56,0,145.14,13007.56,13294.56,12829.56,11694.56,13074.56,12949.56
11366,12.5,260.54,11340.98814,-150.31,-59.68,-294.23,258.53,300.22,0.5,94,351898,2376742,13144.55957,1803.571426,13117.56,13174.56,0,0,13007.56,13294.56,12829.56,11694.56,13074.56,12949.56
11460,12.08,268.51,11432.84041,-162.04,-61.6,-314.1,258.9,320.08,1.86,94,351896,2376722,13126.55957,1693.719156,13099.56,13156.56,0,-18,12989.56,13276.56,12811.56,11676.56,13056.56,12931.56
11555,12.11,265.94,11525.73224,-174.49,-62.57,-333.98,259.39,339.79,0.57,95,351895,2376702,13126.55957,1600.827328,13099.56,13156.56,0,0,12989.56,13276.56,12811.56,11676.56,13056.56,12931.56
11649,11.42,270.45,11617.75892,-186.71,-63.19,-353.12,259.85,358.73,1.22,94,351895,2376683,13153.05957,1535.300652,13126.06,13183.06,0,26.5,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
11743,11.89,272.8,11709.82107,-199.69,-62.65,-372.09,260.44,377.33,0.71,94,351895,2376664,13153.05957,1443.238496,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
11838,13.38,264.26,11802.52605,-212.96,-63.27,-392.81,260.85,397.87,2.51,95,351895,2376643,13153.05957,1350.533522,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
11932,13.31,251.23,11894.00876,-223.5,-67.84,-413.88,260.69,419.4,3.19,94,351890,2376622,13153.05957,1259.050806,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
12026,11.62,264.75,11985.80934,-233.28,-72.19,-433.56,260.55,439.53,3.58,94,351886,2376602,13153.05957,1167.250226,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
12120,13.16,262.33,12077.61792,-244.84,-74.48,-453.59,260.67,459.67,1.73,94,351884,2376582,13153.05957,1075.441648,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
12215,10.06,247.8,12170.68264,-253.61,-79.06,-472,260.49,478.58,4.46,95,351879,2376564,13153.05957,982.376934,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
12309,6.87,226.49,12263.66876,-256.13,-86.04,-483.68,259.91,491.28,4.71,94,351872,2376552,13153.05957,889.390815,13126.06,13183.06,0,0,13016.06,13303.06,12838.06,11703.06,13083.06,12958.06
12403,4.94,192.21,12357.19346,-253.54,-93.87,-488.62,259.13,497.55,4.19,94,351864,2376547,13180.05957,822.866106,13153.06,13210.06,0,27,13043.06,13330.06,12865.06,11730.06,13110.06,12985.06
12497,5.59,162.45,12450.81364,-246.96,-102.19,-488.09,258.17,498.68,2.95,94,351856,2376548,13180.05957,729.245933,13153.06,13210.06,0,0,13043.06,13330.06,12865.06,11730.06,13110.06,12985.06
12591,7.42,162.17,12544.2045,-237.22,-112.34,-484.86,256.96,497.7,1.95,94,351846,2376551,13244.0791,699.874607,13217.08,13274.08,0,64.02,13107.08,13394.08,12929.08,11794.08,13174.08,13049.08
12686,9.21,146.36,12638.21429,-224.07,-124.51,-478.76,255.42,494.69,3.04,95,351834,2376557,13244.0791,605.864817,13217.08,13274.08,0,0,13107.08,13394.08,12929.08,11794.08,13174.08,13049.08
12780,12.88,136.07,12730.46619,-206.14,-138.32,-467.32,253.51,487.36,4.42,94,351820,2376569,13244.0791,513.612914,13217.08,13274.08,0,0,13107.08,13394.08,12929.08,11794.08,13174.08,13049.08
12874,20.73,133.55,12820.38263,-179.05,-157.36,-447.97,250.65,474.8,8.39,94,351801,2376588,13244.0791,423.696468,13217.08,13274.08,0,0,13107.08,13394.08,12929.08,11794.08,13174.08,13049.08
12968,26.71,134.46,12906.40296,-141.37,-183.64,-420.81,246.42,459.13,6.37,94,351774,2376615,13244.0791,337.676145,13217.08,13274.08,0,0,13107.08,13394.08,12929.08,11794.08,13174.08,13049.08
13062,34.37,137.28,12987.30666,-93.7,-217.98,-387.68,240.65,444.76,8.29,94,351740,2376648,13241.0791,253.772446,13214.08,13271.08,0,-3,13104.08,13391.08,12926.08,11791.08,13171.08,13046.08
13156,42.89,135.34,13060.67394,-35.12,-260.31,-347.12,233.13,433.88,9.15,94,351698,2376689,13236.0791,175.405166,13209.08,13266.08,0,-5,13099.08,13386.08,12921.08,11786.08,13166.08,13041.08
13250,50.83,134.47,13124.89881,33.28,-308.67,-298.55,224.05,429.43,8.47,94,351649,2376738,13261.42871,136.529904,13234.43,13291.43,0,25.35,13124.43,13411.43,12946.43,11811.43,13191.43,13066.43
13345,59.92,134.9,13178.82166,111.2,-363.59,-243.04,213.76,437.34,9.58,95,351594,2376793,13259.72852,80.90686,13232.73,13289.73,1.25,0,13122.73,13409.73,12944.73,11809.73,13189.73,13064.73
13439,68.14,135.16,13219.94907,195.48,-423.33,-183.37,203.42,461.34,8.75,94,351535,2376853,13265.72852,45.77945,13238.73,13295.73,0,6,13128.73,13415.73,12950.73,11815.73,13195.73,13070.73
13533,76.44,135.26,13248.51881,284.8,-486.83,-120.34,193.88,501.48,8.83,94,351471,2376916,13287.35449,38.835678,13260.35,13317.35,0.24,22,13150.35,13437.35,12972.35,11837.35,13217.35,13092.35
13627,84.88,135.26,13263.76054,377.32,-552.65,-55.11,185.69,555.39,8.98,94,351405,2376981,13274.73535,10.97481,13247.74,13304.74,2.24,-9,13137.74,13424.74,12959.74,11824.74,13204.74,13079.74
13650,86.95,135.26,13265.39987,400.23,-568.95,-38.96,183.92,570.28,8.98,23,351389,2376997,13273.83984,8.439976,13246.84,13303.84,2.24,0,13136.84,13423.84,12958.84,11823.84,13203.84,13078.84
13725,92.24,134.3,13265.93,475.04,-621.76,14.25,178.69,621.92,7.17,75,351336,2377050,13270.91,4.98,13243.91,13300.91,2.24,0,13133.91,13420.91,12955.91,11820.91,13200.91,13075.91
